t=,1, id=,B00, PRDE,actvstrat=,-0.181410, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.177915, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.534529, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.036137, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.334258, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.722888, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.195891, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.611267, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.301931, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.868758, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.026007, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.560050, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.335667, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.118931, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.382678, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.398766, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.641908, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.042765, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.454202, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.544321, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.181410, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.026007, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.181410, actvprof=,3.917778, id=,B01, PRDE,actvstrat=,-0.177915, actvprof=,4.107778, id=,B02, PRDE,actvstrat=,-0.534529, actvprof=,4.235556, id=,B03, PRDE,actvstrat=,0.036137, actvprof=,3.938889, id=,B04, PRDE,actvstrat=,0.334258, actvprof=,4.241667, id=,B05, PRDE,actvstrat=,0.722888, actvprof=,4.276944, id=,B06, PRDE,actvstrat=,0.195891, actvprof=,4.160278, id=,B07, PRDE,actvstrat=,-0.611267, actvprof=,4.399722, id=,B08, PRDE,actvstrat=,-0.301931, actvprof=,3.897222, id=,B09, PRDE,actvstrat=,0.868758, actvprof=,3.464722, id=,S00, PRDE,actvstrat=,-0.026007, actvprof=,5.425556, id=,S01, PRDE,actvstrat=,0.560050, actvprof=,7.424722, id=,S02, PRDE,actvstrat=,0.335667, actvprof=,6.847222, id=,S03, PRDE,actvstrat=,-0.118931, actvprof=,4.818333, id=,S04, PRDE,actvstrat=,-0.382678, actvprof=,4.065000, id=,S05, PRDE,actvstrat=,0.398766, actvprof=,6.984444, id=,S06, PRDE,actvstrat=,0.641908, actvprof=,7.557500, id=,S07, PRDE,actvstrat=,-0.042765, actvprof=,5.553611, id=,S08, PRDE,actvstrat=,0.454202, actvprof=,7.596944, id=,S09, PRDE,actvstrat=,0.544321, actvprof=,7.463889, best_B_id=,B07, best_B_prof=,4.399722, best_B_strat=,-0.611267, best_S_id=,S08, best_S_prof=,7.596944, best_S_strat=,0.454202, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.174216, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.060546, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.576890, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.505165, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.506116, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.297958, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.784877, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.510794, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.062521, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.621167, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.441714, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.816661, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.190154, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.156187, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.479508, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.138236, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.571741, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.247312, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.752187, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.655514, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.174216, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.441714, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.174216, actvprof=,1.806339, id=,B01, PRDE,actvstrat=,0.060546, actvprof=,2.174662, id=,B02, PRDE,actvstrat=,-0.576890, actvprof=,1.964112, id=,B03, PRDE,actvstrat=,0.505165, actvprof=,2.400767, id=,B04, PRDE,actvstrat=,0.506116, actvprof=,2.603817, id=,B05, PRDE,actvstrat=,-0.297958, actvprof=,1.726896, id=,B06, PRDE,actvstrat=,-0.784877, actvprof=,2.739924, id=,B07, PRDE,actvstrat=,-0.510794, actvprof=,2.004111, id=,B08, PRDE,actvstrat=,0.062521, actvprof=,2.005778, id=,B09, PRDE,actvstrat=,0.621167, actvprof=,2.584928, id=,S00, PRDE,actvstrat=,0.441714, actvprof=,7.615344, id=,S01, PRDE,actvstrat=,-0.816661, actvprof=,1.713286, id=,S02, PRDE,actvstrat=,-0.190154, actvprof=,4.164329, id=,S03, PRDE,actvstrat=,0.156187, actvprof=,6.807866, id=,S04, PRDE,actvstrat=,-0.479508, actvprof=,3.347963, id=,S05, PRDE,actvstrat=,-0.138236, actvprof=,4.469320, id=,S06, PRDE,actvstrat=,0.571741, actvprof=,8.066165, id=,S07, PRDE,actvstrat=,-0.247312, actvprof=,3.766562, id=,S08, PRDE,actvstrat=,-0.752187, actvprof=,2.562151, id=,S09, PRDE,actvstrat=,0.655514, actvprof=,8.784756, best_B_id=,B06, best_B_prof=,2.739924, best_B_strat=,-0.784877, best_S_id=,S09, best_S_prof=,8.784756, best_S_strat=,0.655514, 
t=,14400, id=,B00, PRDE,actvstrat=,0.115959, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.240308, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.112016, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.272977, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.429522, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.417951, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.980442, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.729763, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.935392, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.293430, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.395954, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.618549, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.256505, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.656263, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.317040, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.902432, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.535444, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.693196, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.454202, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.045978, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.115959, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.395954, 
t=,18000, id=,B00, PRDE,actvstrat=,0.115959, actvprof=,1.801944, id=,B01, PRDE,actvstrat=,0.240308, actvprof=,2.115556, id=,B02, PRDE,actvstrat=,0.112016, actvprof=,1.978889, id=,B03, PRDE,actvstrat=,0.272977, actvprof=,2.349722, id=,B04, PRDE,actvstrat=,0.429522, actvprof=,2.353333, id=,B05, PRDE,actvstrat=,-0.417951, actvprof=,1.765833, id=,B06, PRDE,actvstrat=,-0.980442, actvprof=,2.418611, id=,B07, PRDE,actvstrat=,0.729763, actvprof=,2.586944, id=,B08, PRDE,actvstrat=,0.935392, actvprof=,1.437778, id=,B09, PRDE,actvstrat=,-0.293430, actvprof=,1.701667, id=,S00, PRDE,actvstrat=,0.395954, actvprof=,8.499444, id=,S01, PRDE,actvstrat=,-0.618549, actvprof=,2.979167, id=,S02, PRDE,actvstrat=,-0.256505, actvprof=,3.798333, id=,S03, PRDE,actvstrat=,-0.656263, actvprof=,3.036667, id=,S04, PRDE,actvstrat=,-0.317040, actvprof=,4.075833, id=,S05, PRDE,actvstrat=,0.902432, actvprof=,10.880833, id=,S06, PRDE,actvstrat=,0.535444, actvprof=,8.855278, id=,S07, PRDE,actvstrat=,0.693196, actvprof=,9.565278, id=,S08, PRDE,actvstrat=,0.454202, actvprof=,7.942500, id=,S09, PRDE,actvstrat=,0.045978, actvprof=,6.234167, best_B_id=,B07, best_B_prof=,2.586944, best_B_strat=,0.729763, best_S_id=,S05, best_S_prof=,10.880833, best_S_strat=,0.902432, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.236185, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.170239, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.931916, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.423713, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.902010, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.395552, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.370595, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.171938, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.350342, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.689768, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.354932, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.749482, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.431704, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.502311, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.178403, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.269600, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.860411, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.236185, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.350342, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.236185, actvprof=,2.052529, id=,B01, PRDE,actvstrat=,-0.170239, actvprof=,1.918916, id=,B02, PRDE,actvstrat=,0.931916, actvprof=,1.621967, id=,B03, PRDE,actvstrat=,-0.423713, actvprof=,1.995028, id=,B04, PRDE,actvstrat=,0.902010, actvprof=,1.711968, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.781400, id=,B06, PRDE,actvstrat=,0.395552, actvprof=,2.378366, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.460312, id=,B08, PRDE,actvstrat=,-0.370595, actvprof=,2.071695, id=,B09, PRDE,actvstrat=,0.171938, actvprof=,2.160308, id=,S00, PRDE,actvstrat=,0.350342, actvprof=,8.305949, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,10.867929, id=,S02, PRDE,actvstrat=,0.689768, actvprof=,10.519035, id=,S03, PRDE,actvstrat=,-0.354932, actvprof=,3.633106, id=,S04, PRDE,actvstrat=,-0.749482, actvprof=,2.457534, id=,S05, PRDE,actvstrat=,0.431704, actvprof=,8.895679, id=,S06, PRDE,actvstrat=,0.502311, actvprof=,9.568744, id=,S07, PRDE,actvstrat=,0.178403, actvprof=,7.346213, id=,S08, PRDE,actvstrat=,0.269600, actvprof=,7.605661, id=,S09, PRDE,actvstrat=,-0.860411, actvprof=,0.937791, best_B_id=,B07, best_B_prof=,2.460312, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,10.867929, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.236185, actvprof=,2.126126, id=,B01, PRDE,actvstrat=,-0.170239, actvprof=,1.869319, id=,B02, PRDE,actvstrat=,0.931916, actvprof=,1.543205, id=,B03, PRDE,actvstrat=,-0.423713, actvprof=,1.932513, id=,B04, PRDE,actvstrat=,0.902010, actvprof=,1.729734, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.801256, id=,B06, PRDE,actvstrat=,0.395552, actvprof=,2.304599, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.349322, id=,B08, PRDE,actvstrat=,-0.370595, actvprof=,2.060431, id=,B09, PRDE,actvstrat=,0.171938, actvprof=,2.155709, id=,S00, PRDE,actvstrat=,0.350342, actvprof=,8.217557, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,11.003965, id=,S02, PRDE,actvstrat=,0.689768, actvprof=,10.278266, id=,S03, PRDE,actvstrat=,-0.354932, actvprof=,3.801971, id=,S04, PRDE,actvstrat=,-0.749482, actvprof=,2.580157, id=,S05, PRDE,actvstrat=,0.431704, actvprof=,8.858117, id=,S06, PRDE,actvstrat=,0.502311, actvprof=,9.286176, id=,S07, PRDE,actvstrat=,0.178403, actvprof=,7.250050, id=,S08, PRDE,actvstrat=,0.269600, actvprof=,7.689220, id=,S09, PRDE,actvstrat=,-0.860411, actvprof=,0.940701, best_B_id=,B07, best_B_prof=,2.349322, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,11.003965, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.800330, actvprof=,1.555855, id=,B01, PRDE,actvstrat=,0.565469, actvprof=,1.642801, id=,B02, PRDE,actvstrat=,0.454301, actvprof=,1.455020, id=,B03, PRDE,actvstrat=,0.850643, actvprof=,1.614745, id=,B04, PRDE,actvstrat=,0.385974, actvprof=,1.354741, id=,B05, PRDE,actvstrat=,-0.677087, actvprof=,1.083904, id=,B06, PRDE,actvstrat=,-0.784877, actvprof=,1.583355, id=,B07, PRDE,actvstrat=,0.791021, actvprof=,1.692524, id=,B08, PRDE,actvstrat=,0.548156, actvprof=,1.598911, id=,B09, PRDE,actvstrat=,-0.889383, actvprof=,2.234475, id=,S00, PRDE,actvstrat=,-0.838370, actvprof=,0.993347, id=,S01, PRDE,actvstrat=,0.888668, actvprof=,11.568494, id=,S02, PRDE,actvstrat=,-0.796612, actvprof=,1.476687, id=,S03, PRDE,actvstrat=,-0.096049, actvprof=,5.251740, id=,S04, PRDE,actvstrat=,0.386897, actvprof=,8.387616, id=,S05, PRDE,actvstrat=,-0.189598, actvprof=,4.541174, id=,S06, PRDE,actvstrat=,0.122047, actvprof=,6.889262, id=,S07, PRDE,actvstrat=,0.513455, actvprof=,9.144294, id=,S08, PRDE,actvstrat=,0.467504, actvprof=,8.901235, id=,S09, PRDE,actvstrat=,-0.692896, actvprof=,2.964208, best_B_id=,B09, best_B_prof=,2.234475, best_B_strat=,-0.889383, best_S_id=,S01, best_S_prof=,11.568494, best_S_strat=,0.888668, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.800330, actvprof=,1.565300, id=,B01, PRDE,actvstrat=,0.565469, actvprof=,1.623356, id=,B02, PRDE,actvstrat=,0.454301, actvprof=,1.395992, id=,B03, PRDE,actvstrat=,0.850643, actvprof=,1.646690, id=,B04, PRDE,actvstrat=,0.385974, actvprof=,1.390158, id=,B05, PRDE,actvstrat=,-0.677087, actvprof=,1.146821, id=,B06, PRDE,actvstrat=,-0.784877, actvprof=,1.480715, id=,B07, PRDE,actvstrat=,0.791021, actvprof=,1.711552, id=,B08, PRDE,actvstrat=,0.548156, actvprof=,1.524882, id=,B09, PRDE,actvstrat=,-0.889383, actvprof=,2.169336, id=,S00, PRDE,actvstrat=,-0.838370, actvprof=,0.940846, id=,S01, PRDE,actvstrat=,0.888668, actvprof=,11.570994, id=,S02, PRDE,actvstrat=,-0.796612, actvprof=,1.516827, id=,S03, PRDE,actvstrat=,-0.096049, actvprof=,5.455215, id=,S04, PRDE,actvstrat=,0.386897, actvprof=,8.523729, id=,S05, PRDE,actvstrat=,-0.189598, actvprof=,4.550480, id=,S06, PRDE,actvstrat=,0.122047, actvprof=,6.966069, id=,S07, PRDE,actvstrat=,0.513455, actvprof=,9.293046, id=,S08, PRDE,actvstrat=,0.467504, actvprof=,8.733594, id=,S09, PRDE,actvstrat=,-0.692896, actvprof=,2.684343, best_B_id=,B09, best_B_prof=,2.169336, best_B_strat=,-0.889383, best_S_id=,S01, best_S_prof=,11.570994, best_S_strat=,0.888668, 
